Sentence,NER
- maronite patriarch sfeir expressed sorrow over the violations in sunday ' elections .,O I-ORG O I-PER O O O O O O O O O O
-docstart-,O
cme live and feeder cattle calls range mixed .,I-ORG O O O O O O O O
chicago 1996-08-22,I-LOC O
"early calls on cme live and feeder cattle futures ranged from 0.200 cent higher to 0.100 lower , livestock analysts said .",O O O I-ORG O O O O O O O O O O O O O O O O O O
the continued strong tone to cash cattle and beef markets should prompt further support .,O O O O O O O O O O O O O O O
"outlook for a bullish cattle-on-feed report is also expected to lend support and prompt some bull spreading , analysts said .",O O O O O O O O O O O O O O O O O O O O O
"however , trade will likely be light and prices could drift on evening up ahead of the report .",O O O O O O O O O O O O O O O O O O O
"cash markets are also expected to be quiet after the record amount of feedlot cattle traded this week , they said .",O O O O O O O O O O O O O O O O O O O O O O
-docstart-,O
kindercare says debt buy to hit q1 results .,O O O O O O O O O
"montgomery , ala .",I-LOC O I-LOC O
1996-08-22,O
kindercare learning centers inc said on thursday that a debt buyback would mean an extraordinary loss of $ 1.2 million in its fiscal 1997 first quarter .,I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O
"the company said that during the quarter , which began june 1 , it bought $ 30 million par value of its outstanding 10-3/8 percent senior notes due 2001 .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the notes were bought for $ 31.5 million .,O O O O O O O O O
"philip maslowe , chief financial officer of the preschool and child care company , said the buyback "" offered an opportunity to reduce the company 's weighted average interest costs and improve future cash flows and earnings . """,I-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
-docstart-,O
research alert - lehman starts snet .,O O O I-ORG O I-ORG O
"-- lehman analyst blake bath started southern new england telecommunciations corp with an outperform rating , his office said .",O I-ORG O I-PER I-PER O I-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O
"-- the analyst set a 12-month price target of $ 45 and a fiscal 1996 year earnings estimate of $ 3.09 per share , his office said .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"-- the analyst also set an earnings estimate for the 1997 year , but the figure was not immediately available .",O O O O O O O O O O O O O O O O O O O O O
-- southern new england closed at 38-1/2 wednesday .,O I-ORG I-ORG I-ORG O O O O O
"-- e. auchard , wall street bureau , 212-859-1736",O I-PER I-PER O I-ORG I-ORG I-ORG O O
-docstart-,O
gateway data sciences q2 net rises .,I-ORG I-ORG I-ORG O O O O
phoenix 1996-08-22,I-LOC O
summary of consolidated financial data,O O I-ORG I-ORG I-ORG
"( in thousands , except per share data )",O O O O O O O O O
six months ended quarter ended,O O O O O
"jul 31 , jul 31 , jul 31 , jul 31 ,",O O O O O O O O O O O O
1996 1995 1996 1995,O O O O
income statement data :,O O O O
"total revenue $ 10,756 $ 13,102 $ 7,961 $ 5,507",O O O O O O O O O O
"software revenue 2,383 1,558 1,086 1,074",O O O O O O
"services revenue 1,154 692 624 465",O O O O O O
operating income 906 962 599 515,O O O O O O
net income 821 512 565 301,O O O O O O
earnings per share 0.31 0.34 0.19 0.20,O O O O O O O
"jul 31 , 1996 jan 31 , 1996",O O O O O O O O
balance sheet data :,O O O O
"working capital $ 5,755 ( $ 881 )",O O O O O O O O
"cash and cash equivalents 2,386 93",O O O O O O
"total assets 14,196 7,138",O O O O
"shareholders ' equity 5,951 ( 1,461 )",O O O O O O O
-docstart-,O
greek socialists give pm green light for election .,I-MISC O O O O O O O O
athens 1996-08-22,I-LOC O
"the greek socialist party 's executive bureau gave prime minister costas simitis its backing if he chooses to call snap elections , its general secretary costas skandalidis told reporters on thursday .",O I-MISC O O O O O O O O I-PER I-PER O O O O O O O O O O O O O I-PER I-PER O O O O O
"prime minister costas simitis will make an official announcement after a cabinet meeting later on thursday , said skandalidis .",O O I-PER I-PER O O O O O O O O O O O O O O I-PER O
"-- dimitris kontogiannis , athens newsroom +301 3311812-4",O I-PER I-PER O I-ORG I-ORG O O
-docstart-,O
press digest - france - le monde aug 22 .,O O O I-LOC O I-ORG I-ORG O O O
paris 1996-08-22,I-LOC O
"these are leading stories in thursday 's afternoon daily le monde , dated aug 23 .",O O O O O O O O O I-ORG I-ORG O O O O O
front page,O O
"-- africans seeking to renew or obtain work and residence rights say prime minister alain juppe 's proposals are insufficient as hunger strike enters 49th day in paris church and wednesday rally attracts 8,000 sympathisers .",O I-MISC O O O O O O O O O O O O I-PER I-PER O O O O O O O O O O O I-LOC O O O O O O O O
-- flnc corsican nationalist movement announces end of truce after last night 's attacks .,O I-ORG I-MISC O O O O O O O O O O O O
business pages,O O
"-- shutdown of bally 's french factories points up shoe industry crisis , with french manufacturers undercut by low-wage country competition and failure to keep abreast of trends .",O O O I-ORG O I-MISC O O O O O O O O I-MISC O O O O O O O O O O O O O O
-- secretary general of the sud-ptt trade union at france telecom all the elements are in place for social unrest in the next few weeks .,O O O O O I-MISC O O O I-ORG I-ORG O O O O O O O O O O O O O O O
-- paris newsroom +33 1 42 21 53 81,O I-ORG I-ORG O O O O O O
-docstart-,O
well repairs to lift heidrun oil output - statoil .,O O O O I-LOC O O O I-ORG O
oslo 1996-08-22,I-LOC O
"three plugged water injection wells on the heidrun oilfield off mid-norway will be reopened over the next month , operator den norske stats oljeselskap as ( statoil ) said on thursday .",O O O O O O O I-LOC O O I-MISC O O O O O O O O O I-ORG I-ORG I-ORG I-ORG I-ORG O I-ORG O O O O O
"the plugged wells have accounted for a dip of 30,000 barrels per day ( bpd ) in heidrun output to roughly 220,000 bpd , according to the company 's status weekly newsletter .",O O O O O O O O O O O O O O O O O I-LOC O O O O O O O O O O O I-ORG I-ORG O O
"the wells will be reperforated and gravel will be pumped into the reservoir through one of the wells to avoid plugging problems in the future , it said .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
-- oslo newsroom +47 22 42 50 41,O I-LOC O O O O O O
-docstart-,O
finnish april trade surplus 3.8 billion markka - ncb .,I-MISC O O O O O O O I-ORG O
helsinki 1996-08-22,I-LOC O
"finland 's trade surplus rose to 3.83 billion markka in april from 3.43 billion in march , the national customs board ( ncb ) said in a statement on thursday .",I-LOC O O O O O O O O O O O O O O O O O I-ORG I-ORG I-ORG O I-ORG O O O O O O O O
"the value of exports fell one percent year-on-year in april and the value of imports fell two percent , ncb said .",O O O O O O O O O O O O O O O O O O O I-ORG O O
trade balance ( million markka ) :,O O O O O O O
april ' 96 march ' 96 jan-april ' 96 jan-april ' 95,O O O O O O O O O O O O
"imports 10,663 10,725 43,430 40,989",O O O O O
"exports 14,494 14,153 56,126 56,261",O O O O O
"balance +3,831 +3,428 +12,696 +15,272",O O O O O
"the january-april 1995 import figure was revised from 39,584 million markka and the export figure from 55,627 million markka .",O O O O O O O O O O O O O O O O O O O O
the bank of finland earlier estimated the april trade surplus at 3.2 billion markka with exports projected at 14.5 billion and imports at 11.3 billion .,O I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O
the ncb 's official monthly trade statistics are lagging behind due to changes in customs procedures when finland joined the european union at the start of 1995 .,O I-ORG O O O O O O O O O O O O O O O I-LOC O O I-ORG I-ORG O O O O O O
-- helsinki newsroom +358 - 0 - 680 50 245,O I-ORG I-ORG O O O O O O O
-docstart-,O
dutch state raises tap sale price to 99.95 .,I-MISC O O O O O O O O
amsterdam 1996-08-22,I-LOC O
the finance ministry raised the price for tap sales of the dutch government 's new 5.75 percent bond due september 2002 to 99.95 from 99.90 .,O I-ORG I-ORG O O O O O O O O I-MISC O O O O O O O O O O O O O O
tap sales began on monday and are being held daily from 07.00 gmt to 15.00 gmt until further notice .,O O O O O O O O O O O O I-MISC O O I-MISC O O O O
the ministry had raised 2.3 billion guilders from sales of the new bond by the close of trade on wednesday .,O O O O O O O O O O O O O O O O O O O O O
-- amsterdam newsroom +31 20 504 5000,O I-LOC O O O O O
-docstart-,O
german farm ministry tells consumers to avoid british mutton .,I-MISC O O O O O O I-MISC O O
bonn 1996-08-22,I-LOC O
germany 's agriculture ministry suggested on wednesday that consumers avoid eating meat from british sheep until scientists determine whether mad cow disease can be transmitted to the animals .,I-LOC O I-ORG I-ORG O O O O O O O O O I-MISC O O O O O O O O O O O O O O O
""" until this is cleared up by the european union 's scientific panels -- and we have asked this to be done as quickly as possible -- ( consumers ) should if at all possible give preference to sheepmeat from other countries , "" ministry official werner zwingmann told zdf television .",O O O O O O O O I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I-PER I-PER O I-ORG O O
""" i do not want to say that there is a concrete danger for consumers , "" he added . """,O O O O O O O O O O O O O O O O O O O O O
"there are too many holes in what we know , and these must be filled very quickly . """,O O O O O O O O O O O O O O O O O O O
"bonn has led efforts to ensure consumer protection tops the list of priorities in dealing with the mad cow crisis , which erupted in march when britain acknowledged humans could contract a similar illness by eating contaminated beef .",I-LOC O O O O O O O O O O O O O O O O O O O O O O O O O I-LOC O O O O O O O O O O O O
the european commission agreed this month to rethink a proposal to ban the use of suspect sheep tissue after some eu veterinary experts questioned whether it was justified .,O I-ORG I-ORG O O O O O O O O O O O O O O O O O I-ORG O O O O O O O O
"eu farm commissioner franz fischler had proposed banning sheep brains , spleens and spinal cords from the human and animal food chains after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease .",I-ORG O O I-PER I-PER O O O O O O O O O O O O O O O O O O O O I-LOC O I-LOC O O O O O O O I-MISC I-MISC I-MISC O I-MISC O O O O O O
but some members of the eu 's standing veterinary committee questioned whether the action was necessary given the slight risk to human health .,O O O O O I-ORG O O O O O O O O O O O O O O O O O O
the question is being studied separately by two eu scientific committees .,O O O O O O O O I-ORG O O O
"sheep have long been known to contract scrapie , a similar brain-wasting disease to bse which is believed to have been transferred to cattle through feed containing animal waste .",O O O O O O O O O O O O O O I-MISC O O O O O O O O O O O O O O O
british officials say sheep meat is perfectly safe to eat .,I-MISC O O O O O O O O O O
"zdf said germany imported 47,600 sheep from britain last year , nearly half of total imports .",I-ORG O I-LOC O O O O I-LOC O O O O O O O O O
"it brought in 4,275 tonnes of british mutton , some 10 percent of overall imports .",O O O O O O I-MISC O O O O O O O O O
"after the british government admitted a possible link between mad cow disease and its fatal human equivalent , the eu imposed a worldwide ban on british beef exports .",O O I-MISC O O O O O O O O O O O O O O O O I-ORG O O O O O I-MISC O O O
eu leaders agreed at a summit in june to a progressive lifting of the ban as britain takes parallel measures to eradicate the disease .,I-ORG O O O O O O O O O O O O O O O I-LOC O O O O O O O O
-docstart-,O
golf - scores at world series of golf .,O O O O I-MISC I-MISC I-MISC I-MISC O
"akron , ohio 1996-08-22",I-LOC O I-LOC O
scores from the $ 2.1,O O O O O
million nec world series of golf after the first round,O I-MISC I-MISC I-MISC I-MISC I-MISC O O O O
"thursday at the 7,149 yard , par 70 firestone c.c course",O O O O O O O O I-LOC I-LOC O
( players u.s. unless stated ) :,O O I-LOC O O O O
"66 paul goydos , billy mayfair , hidemichi tanaka ( japan )",O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-LOC O
68 steve stricker,O I-PER I-PER
"69 justin leonard , mark brooks",O I-PER I-PER O I-PER I-PER
"70 tim herron , duffy waldorf , davis love , anders forsbrand",O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER
"( sweden ) , nick faldo ( britain ) , john cook , steve jones , phil",O I-LOC O O I-PER I-PER O I-LOC O O I-PER I-PER O I-PER I-PER O I-PER
